candidate_id,full_name,emails,phones,github_url,linkedin_url,current_company,job_title,location,years_experience,education,skills,source
CAND-A911D192,Justin Miller,justin.miller@reid.com,(322) 299-5900,https://github.com/justinmiller,https://linkedin.com/in/justin-miller-561,Microsoft,Comptroller,"Debrashire, Israel",3,B.S. Computer Science,"C++, React, Rust",recruiter_csv
CAND-964DB03F,Thomas Bryant,thomas.bryant@barry.com,470.551.6940,https://github.com/thomasbryant,https://linkedin.com/in/thomas-bryant-767,Microsoft,"Designer, textile","Lake Brett, Lesotho",3,Ph.D. Artificial Intelligence,"Go, Node.js, Machine Learning",recruiter_csv
CAND-A4161293,Charles Lewis,charles.lewis@anderson-bailey.com,+0014496808412411,https://github.com/charleslewis,https://linkedin.com/in/charles-lewis-208,Apple,Financial risk analyst,"Cassandramouth, Costa Rica",3,M.S. Computer Science,"Java, Node.js, Kubernetes, C++, AWS",recruiter_csv
CAND-B0AE8F08,Diana Nelson,diana.nelson@kim-ross.info,+492984511544796,https://github.com/diananelson,https://linkedin.com/in/diana-nelson-283,Amazon,Nature conservation officer,"Sergiostad, Nicaragua",3,M.S. Computer Science,"React, Rust, AWS, Node.js",recruiter_csv
CAND-627B41A1,Brian Smith,,(402) 503-9261,https://github.com/briansmith,https://linkedin.com/in/brian-smith-985,Google,Systems developer,"New Mary, Iceland",3,B.S. Computer Science,"Java, React, Kubernetes, Docker, Node.js, SQL",recruiter_csv
CAND-CB08587D,Victoria Patterson,,037-129-3870,https://github.com/victoriapatterson,https://linkedin.com/in/victoria-patterson-537,Airbnb,Chief Financial Officer,"Port Robertberg, Lesotho",3,B.S. Computer Science,"Java, Go, SQL, React, Kubernetes, Machine Learning, Rust, AWS",recruiter_csv
CAND-C16D83ED,Charles Adams,charles.adams@dawson-walters.biz,861-015-8199,https://github.com/charlesadams,https://linkedin.com/in/charles-adams-525,Microsoft,Investment analyst,"West Robertland, Saint Kitts and Nevis",3,B.A. Mathematics,"Go, Rust, C++, Java, Python, Machine Learning, React, AWS",recruiter_csv
CAND-F1F8343E,Joshua Evans,joshua.evans@wise-bush.info,+5405415747,https://github.com/joshuaevans,https://linkedin.com/in/joshua-evans-990,Amazon,Investment analyst,"Sarahview, Burundi",3,B.S. Computer Science,"SQL, Python, AWS, Java, Docker, C++",recruiter_csv
CAND-4FC77768,Lee Charles,lee.charles@otherdomain.com,+00171025648149177,https://github.com/lee_charles_alt,https://linkedin.com/in/lee-charles-alt,Meta,Operational researcher,"Villarrealburgh, Heard Island and McDonald Islands",3,B.S. Computer Science,"React, Machine Learning, Rust, Python, Java, Docker, Kubernetes",recruiter_csv
,Katherine Vaughn,katherine.vaughn@joseph.com,(135) 182-3374,https://github.com/katherinevaughn,https://linkedin.com/in/katherine-vaughn-569,Microsoft,Environmental consultant,"West Jeremy, Christmas Island",3,B.S. Computer Science,"React, Go, Docker, Rust, Node.js",recruiter_csv
CAND-D7FA2D8D,Casey Welch,casey.welch@bright-francis.biz,850.445.5623,https://github.com/caseywelch,https://linkedin.com/in/casey-welch-846,Amazon,Chief Technology Officer,"East Christian, Trinidad and Tobago",3,Ph.D. Artificial Intelligence,"Docker, Python, Java, Node.js, C++, SQL, AWS",recruiter_csv
CAND-7D824264,Stephanie Murphy,stephanie.murphy@melton.com,(992) 297-5001,https://github.com/stephaniemurphy,https://linkedin.com/in/stephanie-murphy-617,Uber,Proofreader,"Port Ericmouth, Afghanistan",3,B.A. Mathematics,"AWS, Java, Go, Docker, C++, Python, Machine Learning, Rust",recruiter_csv
CAND-7194EAE2,Oscar Ferguson,oscar.ferguson@parker-ward.info,(489) 964-2353,https://github.com/oscarferguson,https://linkedin.com/in/oscar-ferguson-249,Google,"Psychologist, prison and probation services","Piercemouth, Equatorial Guinea",3,B.A. Mathematics,"Rust, Node.js, Python, Machine Learning",recruiter_csv
CAND-90E0A95B,Kathryn Burns,,(203) 875-0997,https://github.com/kathrynburns,https://linkedin.com/in/kathryn-burns-361,Block,"Doctor, general practice","New Andreatown, Andorra",3,B.A. Mathematics,"C++, Rust, Go, Java, Kubernetes, Node.js, Docker, SQL",recruiter_csv
CAND-E222B6A6,Joseph Zuniga,joseph.zuniga@otherdomain.com,386.735.3654,https://github.com/joseph_zuniga_alt,https://linkedin.com/in/joseph-zuniga-alt,Block,"Development worker, community","New Emilyton, Christmas Island",3,Ph.D. Artificial Intelligence,"Kubernetes, Java, Docker",recruiter_csv
